"uid","namedLocation","domainID","siteID","startCollectDate","endCollectDate","archiveID","archiveIDCode","archiveVialIDList","archiveSampleCode","archivedCount","archiveMedium","archiveFacilityID","deprecatedVialID"
"6c1d2f71-129c-4ca3-b80b-3283deda36e7","BART_086.mosquitoPoint.mos","D01","BART","2017-04-24T22:40Z","2017-04-25T12:26Z","BART.2017.17.ANOPUN.F.A",NA,"BART.2017.17.ANOPUN.F.A.01",NA,1,"Frozen -80C",NA,NA
"b1769a0e-1ae5-477d-b876-bafd459791a2","BART","D01","BART","2017-05-22T20:22Z","2017-05-24T11:54Z","BART.2017.21.AEDINT.F.A",NA,"BART.2017.21.AEDINT.F.A.01",NA,97,"Frozen -80C",NA,NA
"6f51641b-8b73-4e24-99f6-182962deb3cc","BART","D01","BART","2017-05-22T20:48Z","2017-05-24T11:54Z","BART.2017.21.AEDSPP.F.A",NA,"BART.2017.21.AEDSPP.F.A.01",NA,20,"Frozen -80C",NA,NA
"e565b9f7-c8bc-4f4a-8ed4-210690311ae9","BART_086.mosquitoPoint.mos","D01","BART","2017-05-23T12:24Z","2017-05-23T22:01Z","BART.2017.21.AEDPRO.F.A",NA,"BART.2017.21.AEDPRO.F.A.01",NA,1,"Frozen -80C",NA,NA
"e233b30f-f135-4b60-a0dd-db1703b53bb1","BART_055.mosquitoPoint.mos","D01","BART","2017-05-23T21:02Z","2017-05-24T11:17Z","BART.2017.21.ANOPUN.F.A",NA,"BART.2017.21.ANOPUN.F.A.01",NA,1,"Frozen -80C",NA,NA
"d28f6860-038b-4ff8-b262-155f40b060cc","BART","D01","BART","2017-06-19T20:34Z","2017-06-21T11:24Z","BART.2017.25.AEDSPP.F.A",NA,"BART.2017.25.AEDSPP.F.A.01",NA,382,"Frozen -80C",NA,NA
"2030f91e-282b-4acf-9698-9cb56d4bf6e0","BART_085.mosquitoPoint.mos","D01","BART","2017-06-19T20:45Z","2017-06-20T10:29Z","BART.2017.25.CULSPP3.F.A",NA,"BART.2017.25.CULSPP3.F.A.01",NA,1,"Frozen -80C",NA,NA
"ac4d8344-46d1-47c2-b094-a6259ba4effe","BART","D01","BART","2017-06-19T20:52Z","2017-06-21T10:58Z","BART.2017.25.AEDSTI.F.A",NA,"BART.2017.25.AEDSTI.F.A.01",NA,2,"Frozen -80C",NA,NA
"e1432707-7f07-4200-8e61-686eaba4a65c","BART_086.mosquitoPoint.mos","D01","BART","2017-06-19T21:37Z","2017-06-20T11:32Z","BART.2017.25.AEDCIN.F.A",NA,"BART.2017.25.AEDCIN.F.A.01",NA,1,"Frozen -80C",NA,NA
"b08f80db-5bef-4428-9d2a-e33856de1662","BART_086.mosquitoPoint.mos","D01","BART","2017-06-19T21:37Z","2017-06-21T11:24Z","BART.2017.25.AEDFIT.F.A",NA,"BART.2017.25.AEDFIT.F.A.01",NA,9,"Frozen -80C",NA,NA
"8466f307-2efe-42e8-a231-d76f347577ef","BART","D01","BART","2017-06-19T21:37Z","2017-06-21T11:24Z","BART.2017.25.AEDPRO.F.A",NA,"BART.2017.25.AEDPRO.F.A.01",NA,13,"Frozen -80C",NA,NA
"66a20260-1c57-44dd-85dc-f8cb9a39b3fa","BART","D01","BART","2017-06-19T21:37Z","2017-06-21T11:24Z","BART.2017.25.AEDINT.F.A",NA,"BART.2017.25.AEDINT.F.A.01",NA,18,"Frozen -80C",NA,NA
"5ad7a2dc-4d3a-4460-97d8-fdc4d209a6b0","BART","D01","BART","2017-06-20T21:25Z","2017-06-21T11:24Z","BART.2017.25.COQPER.F.A",NA,"BART.2017.25.COQPER.F.A.01",NA,2,"Frozen -80C",NA,NA
"1d469d29-ae39-414e-a73e-2b6b6309a15d","BART","D01","BART","2017-07-17T22:35Z","2017-07-18T11:56Z","BART.2017.29.CULRES.F.A",NA,"BART.2017.29.CULRES.F.A.01",NA,4,"Frozen -80C",NA,NA
"5c9736d6-1e9b-4ece-b87f-bb99290d6949","BART","D01","BART","2017-07-17T22:35Z","2017-07-18T21:18Z","BART.2017.29.AEDPUN.F.A",NA,"BART.2017.29.AEDPUN.F.A.01",NA,7,"Frozen -80C",NA,NA
"9e144532-ea0c-4849-8560-d0735383271a","BART","D01","BART","2017-07-17T22:35Z","2017-07-19T11:57Z","BART.2017.29.AEDSPP.F.A",NA,"BART.2017.29.AEDSPP.F.A.01",NA,55,"Frozen -80C",NA,NA
"ba6c67a1-ed89-425e-a192-272928e24019","BART","D01","BART","2017-07-17T22:35Z","2017-07-19T11:57Z","BART.2017.29.COQPER.F.A",NA,"BART.2017.29.COQPER.F.A.01",NA,103,"Frozen -80C",NA,NA
"3b30bdb8-4238-4042-9527-c12fca9b16c1","BART","D01","BART","2017-07-17T22:35Z","2017-07-19T11:57Z","BART.2017.29.AEDTRI.F.A",NA,"BART.2017.29.AEDTRI.F.A.01",NA,47,"Frozen -80C",NA,NA
"54ff412f-920e-427d-b411-ace9dd3e351e","BART_085.mosquitoPoint.mos","D01","BART","2017-07-17T22:40Z","2017-07-18T11:09Z","BART.2017.29.CULMOR.F.A",NA,"BART.2017.29.CULMOR.F.A.01",NA,3,"Frozen -80C",NA,NA
"ecb3a7ec-f613-4625-b235-386351bf4c2c","BART_085.mosquitoPoint.mos","D01","BART","2017-07-17T22:40Z","2017-07-18T11:09Z","BART.2017.29.CULIMP.F.A",NA,"BART.2017.29.CULIMP.F.A.01",NA,5,"Frozen -80C",NA,NA
"8c52f80e-bd4a-4662-94ca-8121a801db85","BART","D01","BART","2017-07-17T22:40Z","2017-07-18T21:39Z","BART.2017.29.AEDINT.F.A",NA,"BART.2017.29.AEDINT.F.A.01",NA,2,"Frozen -80C",NA,NA
"0e5854ac-6403-4f11-97cc-ad9c5d1265a2","BART","D01","BART","2017-07-17T22:44Z","2017-07-19T11:43Z","BART.2017.29.ANOPUN.F.A",NA,"BART.2017.29.ANOPUN.F.A.01",NA,3,"Frozen -80C",NA,NA
"41be69d7-b9fd-4818-a55d-af3a897de91c","BART","D01","BART","2017-07-17T22:44Z","2017-07-19T11:47Z","BART.2017.29.AEDVEX.F.A",NA,"BART.2017.29.AEDVEX.F.A.01",NA,3,"Frozen -80C",NA,NA
"72ff9705-cfa1-464e-bc8a-ca0a8812f175","BART","D01","BART","2017-07-17T22:44Z","2017-07-19T11:57Z","BART.2017.29.AEDSTI.F.A",NA,"BART.2017.29.AEDSTI.F.A.01",NA,8,"Frozen -80C",NA,NA
"54919ba1-e531-48cc-8340-2138cb767249","BART","D01","BART","2017-07-17T23:12Z","2017-07-18T21:20Z","BART.2017.29.AEDTRI1.F.A",NA,"BART.2017.29.AEDTRI1.F.A.01",NA,6,"Frozen -80C",NA,NA
"b656d9d3-7e5b-4d4d-833f-1b15571d881f","BART_086.mosquitoPoint.mos","D01","BART","2017-07-17T23:30Z","2017-07-18T12:08Z","BART.2017.29.AEDCIN.F.A",NA,"BART.2017.29.AEDCIN.F.A.01",NA,1,"Frozen -80C",NA,NA
"ab6736a4-42eb-4248-b472-685423711f51","BART_086.mosquitoPoint.mos","D01","BART","2017-07-18T12:08Z","2017-07-19T11:57Z","BART.2017.29.AEDFIT.F.A",NA,"BART.2017.29.AEDFIT.F.A.01",NA,2,"Frozen -80C",NA,NA
"58aea314-8c25-43ef-a04f-50f0e3a2f541","BART_086.mosquitoPoint.mos","D01","BART","2017-07-18T21:40Z","2017-07-19T11:57Z","BART.2017.29.AEDPRO.F.A",NA,"BART.2017.29.AEDPRO.F.A.01",NA,2,"Frozen -80C",NA,NA
"b4c87674-2d40-4b05-87f2-fd914b333ea9","BART","D01","BART","2017-08-14T21:40Z","2017-08-16T11:53Z","BART.2017.33.AEDTRI1.F.A",NA,"BART.2017.33.AEDTRI1.F.A.01",NA,18,"Frozen -80C",NA,NA
"d7aa766a-a481-4b4d-8ef5-b8c4991c5897","BART","D01","BART","2017-08-14T21:40Z","2017-08-16T12:09Z","BART.2017.33.COQPER.F.A",NA,"BART.2017.33.COQPER.F.A.01",NA,45,"Frozen -80C",NA,NA
"1ebf0b22-573d-4ad3-89fa-121484798c94","BART","D01","BART","2017-08-14T21:52Z","2017-08-16T12:09Z","BART.2017.33.AEDTRI.F.A",NA,"BART.2017.33.AEDTRI.F.A.01",NA,60,"Frozen -80C",NA,NA
"c0ba5cac-b4ab-4f76-b865-1837d44425af","BART","D01","BART","2017-08-14T22:00Z","2017-08-16T12:09Z","BART.2017.33.AEDSTI.F.A",NA,"BART.2017.33.AEDSTI.F.A.01",NA,16,"Frozen -80C",NA,NA
"e772ebdc-85b7-4769-b045-142f271cafa6","BART","D01","BART","2017-08-14T22:19Z","2017-08-16T12:09Z","BART.2017.33.ANOPUN.F.A",NA,"BART.2017.33.ANOPUN.F.A.01",NA,9,"Frozen -80C",NA,NA
"e2d803f5-927e-42a7-8930-9bf403922d33","BART","D01","BART","2017-08-14T22:55Z","2017-08-15T13:24Z","BART.2017.33.AEDVEX.F.A",NA,"BART.2017.33.AEDVEX.F.A.01",NA,3,"Frozen -80C",NA,NA
"d87e8dcf-e761-4ac1-bab0-6df8d5cb3160","BART_086.mosquitoPoint.mos","D01","BART","2017-08-14T23:13Z","2017-08-15T13:24Z","BART.2017.33.AEDCOM.F.A",NA,"BART.2017.33.AEDCOM.F.A.01",NA,1,"Frozen -80C",NA,NA
"aaa4311a-2000-4068-a35a-1c5e15ec3f47","BART_086.mosquitoPoint.mos","D01","BART","2017-08-14T23:13Z","2017-08-15T22:09Z","BART.2017.33.AEDCIN.F.A",NA,"BART.2017.33.AEDCIN.F.A.01",NA,2,"Frozen -80C",NA,NA
"4e48ab4d-dd97-47b7-8206-f90fb2c1ad80","BART","D01","BART","2017-08-14T23:13Z","2017-08-16T11:53Z","BART.2017.33.AEDFIT.F.A",NA,"BART.2017.33.AEDFIT.F.A.01",NA,4,"Frozen -80C",NA,NA
"577d394b-e329-44d4-a80e-2cdcdbdf081b","BART","D01","BART","2017-08-14T23:13Z","2017-08-16T12:09Z","BART.2017.33.AEDSPP.F.A",NA,"BART.2017.33.AEDSPP.F.A.01",NA,11,"Frozen -80C",NA,NA
"d0ee8c89-f872-4bec-960d-153b0ff2e1f8","BART_086.mosquitoPoint.mos","D01","BART","2017-08-14T23:13Z","2017-08-16T12:09Z","BART.2017.33.AEDDIA.F.A",NA,"BART.2017.33.AEDDIA.F.A.01",NA,5,"Frozen -80C",NA,NA
"8b3510da-8005-4122-a84f-f754cd405e2b","BART","D01","BART","2017-09-11T19:20Z","2017-09-13T11:46Z","BART.2017.37.AEDTRI.F.A",NA,"BART.2017.37.AEDTRI.F.A.01",NA,7,"Frozen -80C",NA,NA
"24114ab0-a293-4de7-804c-14a84cd6e0ae","BART","D01","BART","2017-09-11T19:37Z","2017-09-13T12:43Z","BART.2017.37.AEDTRI1.F.A",NA,"BART.2017.37.AEDTRI1.F.A.01",NA,48,"Frozen -80C",NA,NA
"4be67437-0099-4bfb-b596-5015295ac830","BART_057.mosquitoPoint.mos","D01","BART","2017-09-11T20:10Z","2017-09-12T12:58Z","BART.2017.37.AEDFIT.F.A",NA,"BART.2017.37.AEDFIT.F.A.01",NA,2,"Frozen -80C",NA,NA
"4b909a57-7774-470c-bb30-1251abf49472","BART_086.mosquitoPoint.mos","D01","BART","2017-09-12T12:08Z","2017-09-13T11:46Z","BART.2017.37.AEDSPP.F.A",NA,"BART.2017.37.AEDSPP.F.A.01",NA,5,"Frozen -80C",NA,NA
"74953d42-bdaa-4f63-9aab-af5bd6f9fa53","BART_055.mosquitoPoint.mos","D01","BART","2017-09-12T12:53Z","2017-09-12T19:48Z","BART.2017.37.PSOFER.F.A",NA,"BART.2017.37.PSOFER.F.A.01",NA,1,"Frozen -80C",NA,NA
"6d27ce25-6b0e-415f-a77d-a832c6556d2c","BART_058.mosquitoPoint.mos","D01","BART","2017-09-12T13:10Z","2017-09-12T20:04Z","BART.2017.37.ANOPUN.F.A",NA,"BART.2017.37.ANOPUN.F.A.01",NA,1,"Frozen -80C",NA,NA
"9812b2cb-1878-48d1-8a7f-23b85aaf7efb","BART_085.mosquitoPoint.mos","D01","BART","2017-10-10T11:08Z","2017-10-10T19:54Z","BART.2017.41.CULERR.F.A",NA,"BART.2017.41.CULERR.F.A.01",NA,1,"Frozen -80C",NA,NA
"eba3afe0-6def-4304-abc1-1df0bc8e8772","BART_086.mosquitoPoint.mos","D01","BART","2017-10-10T11:58Z","2017-10-10T20:44Z","BART.2017.41.AEDVEX.F.A",NA,"BART.2017.41.AEDVEX.F.A.01",NA,1,"Frozen -80C",NA,NA
"6049cb1c-f104-41d5-aa02-086084cf9847","BART_056.mosquitoPoint.mos","D01","BART","2017-10-10T19:50Z","2017-10-11T11:03Z","BART.2017.41.AEDTRI1.F.A",NA,"BART.2017.41.AEDTRI1.F.A.01",NA,1,"Frozen -80C",NA,NA
"9f71a74d-2205-4be9-8148-32e7661559b0","BLAN","D02","BLAN","2017-03-27T19:54Z","2017-03-28T14:07Z","BLAN.2017.13.ANOQUA.F.A",NA,"BLAN.2017.13.ANOQUA.F.A.01",NA,4,"Frozen -80C",NA,NA
"3498538b-7a73-4b86-a72c-470068c0d542","BLAN_022.mosquitoPoint.mos","D02","BLAN","2017-04-24T20:50Z","2017-04-25T13:02Z","BLAN.2017.17.CULSAL.F.A",NA,"BLAN.2017.17.CULSAL.F.A.01",NA,1,"Frozen -80C",NA,NA
"813d81bb-9545-47a1-8f55-92f255000057","BLAN_025.mosquitoPoint.mos","D02","BLAN","2017-04-25T13:26Z","2017-04-25T21:21Z","BLAN.2017.17.AEDVEX.F.A",NA,"BLAN.2017.17.AEDVEX.F.A.01",NA,1,"Frozen -80C",NA,NA
"16165f30-87ae-4ad8-aa9d-ab6c0588898c","BLAN_026.mosquitoPoint.mos","D02","BLAN","2017-04-25T13:50Z","2017-04-26T13:46Z","BLAN.2017.17.AEDTRI.F.A",NA,"BLAN.2017.17.AEDTRI.F.A.01",NA,5,"Frozen -80C",NA,NA
"4dc6f263-3e58-4414-a445-51bf38177293","BLAN","D02","BLAN","2017-05-22T22:21Z","2017-05-24T14:19Z","BLAN.2017.21.AEDSPP.F.A",NA,"BLAN.2017.21.AEDSPP.F.A.01",NA,10,"Frozen -80C",NA,NA
"1dd66524-bfee-4161-98a3-b423d1405358","BLAN_065.mosquitoPoint.mos","D02","BLAN","2017-05-22T22:31Z","2017-05-23T12:50Z","BLAN.2017.21.CULSPP3.F.A",NA,"BLAN.2017.21.CULSPP3.F.A.01",NA,1,"Frozen -80C",NA,NA
"ae5342ef-1022-4b0d-ba1e-92275408da86","BLAN_029.mosquitoPoint.mos","D02","BLAN","2017-05-22T22:37Z","2017-05-23T12:56Z","BLAN.2017.21.CULRES.F.A",NA,"BLAN.2017.21.CULRES.F.A.01",NA,1,"Frozen -80C",NA,NA
"36aa06ab-51ab-4d74-bcf1-dc6f61df9e47","BLAN_029.mosquitoPoint.mos","D02","BLAN","2017-05-22T22:37Z","2017-05-23T12:56Z","BLAN.2017.21.COQPER.F.A",NA,"BLAN.2017.21.COQPER.F.A.01",NA,1,"Frozen -80C",NA,NA
"71fb7743-fe97-4186-8bb7-73cf55b29dd8","BLAN_029.mosquitoPoint.mos","D02","BLAN","2017-05-23T21:25Z","2017-05-24T13:40Z","BLAN.2017.21.CULSAL.F.A",NA,"BLAN.2017.21.CULSAL.F.A.01",NA,4,"Frozen -80C",NA,NA
"cf5b0a10-54a3-4dca-817c-6439a3db553a","BLAN_027.mosquitoPoint.mos","D02","BLAN","2017-06-19T21:15Z","2017-06-20T11:45Z","BLAN.2017.25.CULPIP.F.A",NA,"BLAN.2017.25.CULPIP.F.A.01",NA,1,"Frozen -80C",NA,NA
"deaedb3a-d271-482f-83c7-3f4d7e3c8df2","BLAN","D02","BLAN","2017-06-19T21:15Z","2017-06-21T12:36Z","BLAN.2017.25.AEDTRI.F.A",NA,"BLAN.2017.25.AEDTRI.F.A.01",NA,6,"Frozen -80C",NA,NA
"e06d96de-879d-438b-8bf1-f4a8d3e0ee8f","BLAN","D02","BLAN","2017-06-19T21:33Z","2017-06-21T13:12Z","BLAN.2017.25.AEDSPP.F.A",NA,"BLAN.2017.25.AEDSPP.F.A.01",NA,24,"Frozen -80C",NA,NA
"737b02d6-b570-4b8f-9b39-2cc66560188b","BLAN_025.mosquitoPoint.mos","D02","BLAN","2017-06-19T21:55Z","2017-06-20T12:18Z","BLAN.2017.25.AEDINT.F.A",NA,"BLAN.2017.25.AEDINT.F.A.01",NA,1,"Frozen -80C",NA,NA
"333eba65-d54e-4ee6-976c-0491fab165f7","BLAN_065.mosquitoPoint.mos","D02","BLAN","2017-06-19T22:07Z","2017-06-20T12:26Z","BLAN.2017.25.CULSPP3.F.A",NA,"BLAN.2017.25.CULSPP3.F.A.01",NA,1,"Frozen -80C",NA,NA
"eb402082-5a72-445f-b992-43f8394a26f4","BLAN_026.mosquitoPoint.mos","D02","BLAN","2017-06-19T22:34Z","2017-06-20T12:36Z","BLAN.2017.25.CULERR.F.A",NA,"BLAN.2017.25.CULERR.F.A.01",NA,1,"Frozen -80C",NA,NA
"95351d8d-dad7-452a-9a3a-56d988080571","BLAN","D02","BLAN","2017-06-19T22:45Z","2017-06-21T12:36Z","BLAN.2017.25.AEDTRI1.F.A",NA,"BLAN.2017.25.AEDTRI1.F.A.01",NA,7,"Frozen -80C",NA,NA
"87f82d3f-5106-4689-a3c2-55a8600397b0","BLAN_025.mosquitoPoint.mos","D02","BLAN","2017-06-20T22:42Z","2017-06-21T12:36Z","BLAN.2017.25.AEDALB.F.A",NA,"BLAN.2017.25.AEDALB.F.A.01",NA,1,"Frozen -80C",NA,NA
"d5a011a9-d3ff-4d0a-befe-391d94134def","BLAN_065.mosquitoPoint.mos","D02","BLAN","2017-06-20T22:48Z","2017-06-21T12:46Z","BLAN.2017.25.CULSAL.F.A",NA,"BLAN.2017.25.CULSAL.F.A.01",NA,1,"Frozen -80C",NA,NA
"b4c495da-c8fb-4238-bd02-db80a5702932","BLAN_023.mosquitoPoint.mos","D02","BLAN","2017-06-20T23:03Z","2017-06-21T13:04Z","BLAN.2017.25.PSOFER.F.A",NA,"BLAN.2017.25.PSOFER.F.A.01",NA,1,"Frozen -80C",NA,NA
"e527652e-d684-4ab2-9007-672b8183f692","BLAN","D02","BLAN","2017-07-17T21:32Z","2017-07-19T21:58Z","BLAN.2017.29.PSOFER.F.A",NA,"BLAN.2017.29.PSOFER.F.A.01",NA,29,"Frozen -80C",NA,NA
"750f7cf2-e27b-4032-8517-4d1834624f2f","BLAN","D02","BLAN","2017-07-17T22:14Z","2017-07-19T13:40Z","BLAN.2017.29.CULERR.F.A",NA,"BLAN.2017.29.CULERR.F.A.01",NA,32,"Frozen -80C",NA,NA
"0aa97eb7-b2d1-46a0-9917-efc80fb1b1a3","BLAN","D02","BLAN","2017-07-17T22:30Z","2017-07-19T21:42Z","BLAN.2017.29.AEDSTI.F.A",NA,"BLAN.2017.29.AEDSTI.F.A.01",NA,8,"Frozen -80C",NA,NA
"b3cb8752-63d5-46e8-a8ad-50f939614660","BLAN_024.mosquitoPoint.mos","D02","BLAN","2017-07-17T22:46Z","2017-07-18T14:07Z","BLAN.2017.29.AEDTRI1.F.A",NA,"BLAN.2017.29.AEDTRI1.F.A.01",NA,2,"Frozen -80C",NA,NA
"efa7dbf5-9534-44b0-b12c-b18db203c6d5","BLAN_029.mosquitoPoint.mos","D02","BLAN","2017-07-18T23:07Z","2017-07-19T13:11Z","BLAN.2017.29.COQPER.F.A",NA,"BLAN.2017.29.COQPER.F.A.01",NA,1,"Frozen -80C",NA,NA
"5e00f132-033c-41e9-b050-a8a5fd2643b5","BLAN","D02","BLAN","2017-07-18T23:07Z","2017-07-19T13:18Z","BLAN.2017.29.ANOQUA.F.A",NA,"BLAN.2017.29.ANOQUA.F.A.01",NA,8,"Frozen -80C",NA,NA
"fe62936e-2775-4bb0-8ea8-4789631eaebc","BLAN_026.mosquitoPoint.mos","D02","BLAN","2017-07-18T23:15Z","2017-07-19T13:18Z","BLAN.2017.29.ANOCRU.F.A",NA,"BLAN.2017.29.ANOCRU.F.A.01",NA,1,"Frozen -80C",NA,NA
"46a56139-108f-475e-9dbd-b03114df9a5f","BLAN_026.mosquitoPoint.mos","D02","BLAN","2017-07-18T23:15Z","2017-07-19T21:42Z","BLAN.2017.29.AEDALB.F.A",NA,"BLAN.2017.29.AEDALB.F.A.01",NA,2,"Frozen -80C",NA,NA
"3a0cee53-7e7f-4729-93b0-1f08f5bc3e69","BLAN_024.mosquitoPoint.mos","D02","BLAN","2017-07-18T23:34Z","2017-07-19T13:40Z","BLAN.2017.29.CULSAL.F.A",NA,"BLAN.2017.29.CULSAL.F.A.01",NA,1,"Frozen -80C",NA,NA
"d4b6b2b1-06b4-4d55-b69f-e2339109e79f","BLAN","D02","BLAN","2017-08-14T20:10Z","2017-08-16T14:01Z","BLAN.2017.33.AEDTRI1.F.A",NA,"BLAN.2017.33.AEDTRI1.F.A.01",NA,11,"Frozen -80C",NA,NA
"61f4a45c-5e18-4365-9ca6-11fa94b2992f","BLAN_022.mosquitoPoint.mos","D02","BLAN","2017-08-14T20:23Z","2017-08-15T13:34Z","BLAN.2017.33.AEDALB.F.A",NA,"BLAN.2017.33.AEDALB.F.A.01",NA,1,"Frozen -80C",NA,NA
"a3b05b59-4e40-4e15-938d-38918db6adfc","BLAN","D02","BLAN","2017-08-14T20:23Z","2017-08-16T14:11Z","BLAN.2017.33.CULERR.F.A",NA,"BLAN.2017.33.CULERR.F.A.01",NA,79,"Frozen -80C",NA,NA
