"domainID","siteID","horizontalPosition","verticalPosition","date","wssStaPresMean","wssStaPresMinimum","wssStaPresMaximum","wssStaPresVariance","wssStaPresStdErMean","wssStaPresNumPts","staPresQF","wssCorPres","corPresQF"
"D03","OSBS","000","025","2018-01-01",101.85615,101.54032,102.33308,0.04923,0.00239,8640,0,102.48749,0
"D03","OSBS","000","025","2018-01-02",102.36236,102.19259,102.56389,0.00849,0.00099,8640,0,103.0084,0
"D03","OSBS","000","025","2018-01-03",101.50802,101.03858,102.19259,0.11584,0.00366,8640,0,102.14773,0
"D03","OSBS","000","025","2018-01-04",101.41091,101.26938,101.6507,0.01077,0.00112,8640,0,102.05194,0
"D03","OSBS","000","025","2018-01-05",102.1229,101.60052,102.4836,0.05284,0.00247,8640,0,102.76733,0
"D03","OSBS","000","025","2018-01-06",102.5172,102.35314,102.76459,0.01079,0.00112,8640,0,103.15996,0
"D03","OSBS","000","025","2018-01-07",102.63495,102.36318,102.79469,0.01527,0.00133,8640,0,103.27319,0
"D03","OSBS","000","025","2018-01-08",101.95775,101.48011,102.49363,0.09866,0.00338,8640,0,102.58146,0
"D03","OSBS","000","025","2018-01-09",101.49117,101.27941,101.64066,0.00945,0.00105,8640,0,102.09539,0
"D03","OSBS","000","025","2018-01-10",101.43912,101.19914,101.61056,0.01541,0.00134,8640,0,102.03944,0
"D03","OSBS","000","025","2018-01-11",101.22615,100.99845,101.4199,0.01407,0.00128,8640,0,101.82181,0
"D03","OSBS","000","025","2018-01-12",100.76495,100.286,101.18911,0.06974,0.00284,8640,0,101.36004,0
"D03","OSBS","000","025","2018-01-13",101.30185,100.6071,102.01196,0.1699,0.00443,8640,0,101.91855,0
"D03","OSBS","000","025","2018-01-14",102.38445,102.01196,102.63413,0.01604,0.00136,8640,0,103.02263,0
"D03","OSBS","000","025","2018-01-15",102.47823,102.32304,102.67427,0.00808,0.00097,8640,0,103.11385,0
"D03","OSBS","000","025","2018-01-16",102.42159,102.15244,102.58395,0.01728,0.00141,8640,0,103.05317,0
"D03","OSBS","000","025","2018-01-17",102.05524,101.92164,102.24276,0.0092,0.00103,8640,0,102.68287,0
"D03","OSBS","000","025","2018-01-18",102.36706,102.15244,102.58395,0.01322,0.00124,8640,0,103.01453,0
"D03","OSBS","000","025","2018-01-19",102.25308,101.96178,102.40332,0.02161,0.00158,8640,0,102.89195,0
"D03","OSBS","000","025","2018-01-20",102.08536,101.94171,102.2829,0.00578,0.00082,8640,0,102.71576,0
"D03","OSBS","000","025","2018-01-21",101.95191,101.71091,102.15244,0.01739,0.00142,8640,0,102.56708,0
"D03","OSBS","000","025","2018-01-22",101.57608,101.22925,101.84136,0.03524,0.00202,8640,0,102.1817,0
"D03","OSBS","000","025","2018-01-23",101.21774,101.09879,101.30952,0.00376,0.00066,8640,0,101.81319,0
"D03","OSBS","000","025","2018-01-24",101.70214,101.28945,102.01196,0.03042,0.00188,8640,0,102.32041,0
"D03","OSBS","000","025","2018-01-25",102.40938,102.00192,102.75455,0.04693,0.00233,8640,0,103.03332,0
"D03","OSBS","000","025","2018-01-26",102.71197,102.57391,102.84487,0.00517,0.00077,8640,0,103.336,0
"D03","OSBS","000","025","2018-01-27",102.39,102.01196,102.70438,0.04344,0.00224,8640,0,103.00041,0
"D03","OSBS","000","025","2018-01-28",101.7592,101.27941,102.1123,0.07082,0.00286,8640,0,102.36203,0
"D03","OSBS","000","025","2018-01-29",101.05378,100.79776,101.32959,0.0204,0.00154,8640,0,101.65366,0
"D03","OSBS","000","025","2018-01-30",101.78059,101.30952,102.1123,0.04936,0.00239,8640,0,102.40213,0
"D03","OSBS","000","025","2018-01-31",102.21981,101.96178,102.39328,0.01588,0.00136,8640,0,102.8507,0
"D03","OSBS","000","025","2018-02-01",101.91677,101.6808,102.1123,0.0167,0.00139,8640,0,102.53498,0
"D03","OSBS","000","025","2018-02-02",101.79662,101.64066,102.04206,0.00627,0.00085,8640,0,102.40837,0
"D03","OSBS","000","025","2018-02-03",102.15534,101.93168,102.30297,0.0122,0.00119,8640,0,102.77979,0
"D03","OSBS","000","025","2018-02-04",101.39333,100.868,101.99188,0.13276,0.00392,8640,0,102.00161,0
"D03","OSBS","000","025","2018-02-05",101.47517,100.95831,101.88151,0.08339,0.00311,8640,0,102.07978,0
"D03","OSBS","000","025","2018-02-06",102.04554,101.81126,102.31301,0.01378,0.00126,8640,0,102.65975,0
"D03","OSBS","000","025","2018-02-07",101.91768,101.6507,102.15244,0.0193,0.00149,8640,0,102.51901,0
"D03","OSBS","000","025","2018-02-08",101.99802,101.79119,102.25279,0.02107,0.00156,8640,0,102.6009,0
"D03","OSBS","000","025","2018-02-09",102.08714,101.76108,102.33308,0.03108,0.0019,8640,0,102.69312,0
"D03","OSBS","000","025","2018-02-10",101.75056,101.45001,101.94171,0.02586,0.00173,8640,0,102.34556,0
"D03","OSBS","000","025","2018-02-11",101.56926,101.3898,101.75105,0.00847,0.00099,8640,0,102.16166,0
"D03","OSBS","000","025","2018-02-12",101.92303,101.56039,102.19259,0.03228,0.00195,8491,0,102.51874,0
"D03","OSBS","000","025","2018-02-13",102.48531,102.09224,102.79469,0.0402,0.00216,8640,0,103.09162,0
"D03","OSBS","000","025","2018-02-14",102.64228,102.32304,102.82479,0.02081,0.00155,8639,0,103.25894,0
"D03","OSBS","000","025","2018-02-15",102.19601,101.85139,102.42339,0.03325,0.00203,8104,0,102.80114,0
"D03","OSBS","000","025","2018-02-16",101.77208,101.50018,101.94171,0.01697,0.0014,8640,0,102.37097,0
"D03","OSBS","000","025","2018-02-17",101.71282,101.58046,101.86143,0.00507,0.00077,8640,0,102.30902,0
"D03","OSBS","000","025","2018-02-18",101.84686,101.70088,102.03202,0.00724,0.00092,8631,0,102.44363,0
"D03","OSBS","000","025","2018-02-19",102.12025,101.93168,102.36318,0.01258,0.00121,8640,0,102.71843,0
"D03","OSBS","000","025","2018-02-20",102.24477,102.09224,102.42339,0.00777,0.001,7745,0,102.84028,1
"D03","OSBS","000","025","2018-02-21",102.39789,102.24276,102.61406,0.01073,0.00114,8235,0,102.99189,1
"D03","OSBS","000","025","2018-02-22",102.46447,102.2829,102.66424,0.0094,0.00104,8640,0,103.06257,0
"D03","OSBS","000","025","2018-02-23",102.35265,102.07216,102.53377,0.02138,0.00157,8640,0,102.95119,0
"D03","OSBS","000","025","2018-02-24",101.92268,101.51022,102.16248,0.0429,0.00223,8640,0,102.51816,0
"D03","OSBS","000","025","2018-02-25",101.64756,101.45001,101.80123,0.0098,0.00107,8640,0,102.23829,0
"D03","OSBS","000","025","2018-02-26",101.62326,101.48011,101.78115,0.00626,0.00085,8640,0,102.21542,0
"D03","OSBS","000","025","2018-02-27",101.93048,101.66074,102.19259,0.02015,0.00153,8640,0,102.53265,0
"D03","OSBS","000","025","2018-02-28",101.64559,101.25935,102.01196,0.04957,0.0024,8640,0,102.24695,0
"D03","OSBS","000","025","2018-03-01",101.14913,100.8981,101.35969,0.01599,0.00136,8640,0,101.73901,0
"D03","OSBS","000","025","2018-03-02",101.32497,101.00848,101.58046,0.02688,0.00176,8633,0,101.92145,0
"D03","OSBS","000","025","2018-03-03",101.61961,101.42994,101.85139,0.0136,0.00125,8640,0,102.23155,0
"D03","OSBS","000","025","2018-03-04",101.61418,101.53028,101.79119,0.00566,0.00082,8329,0,102.23041,0
"D03","OSBS","000","025","2018-03-05",101.50848,101.22925,101.72094,0.02287,0.00167,8249,0,102.12677,0
"D03","OSBS","000","025","2018-03-06",101.13293,100.8078,101.39983,0.03003,0.00186,8640,0,101.73952,0
"D03","OSBS","000","025","2018-03-07",100.84077,100.55693,101.13893,0.02692,0.00177,8640,0,101.43962,0
"D03","OSBS","000","025","2018-03-08",101.27703,100.99845,101.57042,0.02186,0.00159,8640,0,101.89583,0
"D03","OSBS","000","025","2018-03-09",101.59528,101.30952,101.87147,0.01596,0.00136,8640,0,102.21691,0
"D03","OSBS","000","025","2018-03-10",101.46161,101.11886,101.6808,0.02905,0.00183,8640,0,102.07762,0
"D03","OSBS","000","025","2018-03-11",100.89711,100.39638,101.18911,0.04694,0.00233,8640,0,101.49652,0
"D03","OSBS","000","025","2018-03-12",100.45145,100.15556,100.93824,0.0237,0.00166,8640,0,101.04715,0
"D03","OSBS","000","025","2018-03-13",101.33312,100.93824,101.59049,0.0227,0.00162,8640,0,101.9535,0
"D03","OSBS","000","025","2018-03-14",101.44261,101.26938,101.67077,0.01091,0.00112,8638,0,102.06128,0
"D03","OSBS","000","025","2018-03-15",101.62325,101.35969,101.87147,0.02021,0.00153,8640,0,102.24517,0
"D03","OSBS","000","025","2018-03-16",101.47518,101.26938,101.71091,0.0141,0.00128,8640,0,102.08944,0
"D03","OSBS","000","025","2018-03-17",101.3275,100.98841,101.50018,0.02628,0.00174,8640,0,101.93078,0
"D03","OSBS","000","025","2018-03-18",100.97215,100.61714,101.159,0.02634,0.00175,8640,0,101.56695,0
"D03","OSBS","000","025","2018-03-19",100.58163,100.33618,100.81782,0.01687,0.0014,8640,0,101.17374,0
"D03","OSBS","000","025","2018-03-20",100.11829,99.71405,100.47666,0.04455,0.00227,8640,0,100.70486,0
"D03","OSBS","000","025","2018-03-21",100.67703,99.93481,101.13893,0.11175,0.0036,8640,0,101.2811,0
"D03","OSBS","000","025","2018-03-22",101.69298,101.13893,102.01196,0.04097,0.00218,8640,0,102.3109,0
"D03","OSBS","000","025","2018-03-23",101.99948,101.73098,102.24276,0.01719,0.00141,8640,0,102.61973,0
"D03","OSBS","000","025","2018-03-24",101.75661,101.29949,101.97182,0.04125,0.00219,8640,0,102.36681,0
"D03","OSBS","000","025","2018-03-25",101.33439,101.13893,101.46004,0.00787,0.00095,8640,0,101.93362,0
"D03","OSBS","000","025","2018-03-26",101.89871,101.31955,102.19259,0.05375,0.00249,8640,0,102.50847,0
"D03","OSBS","000","025","2018-03-27",102.17027,101.96178,102.32304,0.01119,0.00114,8640,0,102.7756,0
"D03","OSBS","000","025","2018-03-28",101.82254,101.42994,102.15244,0.04842,0.00237,8640,0,102.42448,0
"D03","OSBS","000","025","2018-03-29",101.4575,101.17907,101.69084,0.01848,0.00146,8640,0,102.05345,0
"D03","OSBS","000","025","2018-03-30",101.40581,101.21921,101.55036,0.00579,0.00082,8640,0,102.0026,0
"D03","OSBS","000","025","2018-03-31",101.72065,101.51022,101.94171,0.0124,0.0012,8640,0,102.32386,0
"D03","OSBS","000","025","2018-04-01",101.59641,101.26938,101.77112,0.0232,0.00164,8640,0,102.198,0
"D03","OSBS","000","025","2018-04-02",101.30999,101.07872,101.48011,0.01337,0.00124,8640,0,101.90439,0
"D03","OSBS","000","025","2018-04-03",101.249,101.03858,101.40987,0.01069,0.00111,8640,0,101.83894,0
"D03","OSBS","000","025","2018-04-04",101.15108,101.00848,101.24931,0.0045,0.00072,8640,0,101.74256,0
"D03","OSBS","000","025","2018-04-05",101.46826,101.09879,101.71091,0.01752,0.00142,8640,0,102.07135,0
"D03","OSBS","000","025","2018-04-06",101.36927,100.91817,101.58046,0.04285,0.00223,8640,0,101.96815,0
"D03","OSBS","000","025","2018-04-07",100.68422,100.1957,101.04862,0.05844,0.0026,8640,0,101.27372,0
"D03","OSBS","000","025","2018-04-08",100.73302,100.35624,101.06869,0.05767,0.00258,8640,0,101.33109,0
"D03","OSBS","000","025","2018-04-09",100.99876,100.82786,101.18911,0.00722,0.00091,8639,0,101.59797,0
"D03","OSBS","000","025","2018-04-10",101.23737,101.04862,101.39983,0.00503,0.00076,8640,0,101.83992,0
"D03","OSBS","000","025","2018-04-11",101.52195,101.26938,101.78115,0.01931,0.00149,8640,0,102.12845,0
"D03","OSBS","000","025","2018-04-12",101.74039,101.58046,101.94171,0.00972,0.00106,8640,0,102.34607,0
"D03","OSBS","000","025","2018-04-13",101.59895,101.3898,101.75105,0.00983,0.00107,8640,0,102.19588,0
"D03","OSBS","000","025","2018-04-14",101.37382,101.01852,101.61056,0.03438,0.00199,8640,0,101.96596,0
"D03","OSBS","000","025","2018-04-15",100.88544,100.46662,101.22925,0.05258,0.00247,8640,0,101.47305,0
"D03","OSBS","000","025","2018-04-16",101.1819,100.68738,101.53028,0.04479,0.00228,8640,0,101.79038,0
"D03","OSBS","000","025","2018-04-17",101.50094,101.18911,101.77112,0.02332,0.00168,8264,0,102.10865,0
"D03","OSBS","000","025","2018-04-18",101.42326,101.29949,101.58046,0.00672,0.00088,8640,0,102.02249,0
"D03","OSBS","000","025","2018-04-19",101.36624,101.21921,101.53028,0.00738,0.00092,8640,0,101.96306,0
"D03","OSBS","000","025","2018-04-20",101.58084,101.25935,101.85139,0.0395,0.00214,8640,0,102.1819,0
"D03","OSBS","000","025","2018-04-21",101.77464,101.64066,101.92164,0.0054,0.00079,8640,0,102.37287,0
"D03","OSBS","000","025","2018-04-22",101.65163,101.26938,101.86143,0.02545,0.00172,8640,0,102.2461,0
"D03","OSBS","000","025","2018-04-23",101.14063,100.77769,101.45001,0.0334,0.00197,8640,0,101.72837,0
"D03","OSBS","000","025","2018-04-24",100.9046,100.68738,101.09879,0.01167,0.00116,8640,0,101.49469,0
"D03","OSBS","000","025","2018-04-25",100.85589,100.59707,101.00848,0.01631,0.00137,8640,0,101.44971,0
"D03","OSBS","000","025","2018-04-26",100.78071,100.59707,100.9282,0.00934,0.00104,8640,0,101.37263,0
"D03","OSBS","000","025","2018-04-27",100.67746,100.49672,100.8078,0.00781,0.00095,8640,0,101.2667,0
"D03","OSBS","000","025","2018-04-28",100.88515,100.59707,101.11886,0.01226,0.00119,8640,0,101.47868,0
"D03","OSBS","000","025","2018-04-29",101.29097,100.90814,101.53028,0.01811,0.00145,8640,0,101.88311,0
"D03","OSBS","000","025","2018-04-30",101.74063,101.35969,102.00192,0.02384,0.00166,8640,0,102.33743,0
"D03","OSBS","000","025","2018-05-01",101.90303,101.80123,102.06213,0.00566,0.00081,8640,0,102.50211,0
"D03","OSBS","000","025","2018-05-02",102.02172,101.88151,102.14241,0.00551,8e-04,8640,0,102.62116,0
"D03","OSBS","000","025","2018-05-03",101.93434,101.80123,102.07216,0.00781,0.00095,8640,0,102.53225,0
"D03","OSBS","000","025","2018-05-04",101.68982,101.36973,101.91161,0.02712,0.00178,8561,0,102.28331,0
"D03","OSBS","000","025","2018-05-05",101.29419,100.96834,101.59049,0.03307,0.00196,8640,0,101.88615,0
"D03","OSBS","000","025","2018-05-06",100.96433,100.74758,101.13893,0.01278,0.00122,8640,0,101.54888,0
"D03","OSBS","000","025","2018-05-07",101.01837,100.8078,101.16903,0.00739,0.00092,8640,0,101.60378,0
"D03","OSBS","000","025","2018-05-08",101.27174,101.07872,101.46004,0.00924,0.00103,8640,0,101.86294,0
"D03","OSBS","000","025","2018-05-09",101.4573,101.32959,101.60052,0.00694,9e-04,8640,0,102.04965,0
"D03","OSBS","000","025","2018-05-10",101.49835,101.21921,101.67077,0.01447,0.00129,8640,0,102.08849,0
"D03","OSBS","000","025","2018-05-11",101.43636,101.23927,101.56039,0.0085,0.00099,8640,0,102.0213,0
"D03","OSBS","000","025","2018-05-12",101.48647,101.34966,101.6507,0.00767,0.00094,8640,0,102.07224,0
"D03","OSBS","000","025","2018-05-13",101.44604,101.25935,101.60052,0.0091,0.00103,8640,0,102.03764,0
"D03","OSBS","000","025","2018-05-14",101.19844,100.90814,101.33963,0.01399,0.00127,8640,0,101.78854,0
"D03","OSBS","000","025","2018-05-15",100.9859,100.87804,101.14897,0.00453,0.00072,8640,0,101.57483,0
"D03","OSBS","000","025","2018-05-16",100.95106,100.74758,101.08876,0.00884,0.00101,8640,0,101.5393,0
"D03","OSBS","000","025","2018-05-17",100.87975,100.78772,101.00848,0.0027,0.00056,8640,0,101.46545,0
"D03","OSBS","000","025","2018-05-18",101.03149,100.84793,101.19914,0.00606,0.00084,8640,0,101.6182,0
"D03","OSBS","000","025","2018-05-19",101.262,101.06869,101.40987,0.00783,0.00095,8640,0,101.84842,0
"D03","OSBS","000","025","2018-05-20",101.51306,101.35969,101.69084,0.0056,8e-04,8640,0,102.10483,0
"D03","OSBS","000","025","2018-05-21",101.45514,101.32959,101.60052,0.00451,0.00072,8640,0,102.04492,0
"D03","OSBS","000","025","2018-05-22",101.42799,101.27941,101.57042,0.00624,0.00085,8640,0,102.01524,0
"D03","OSBS","000","025","2018-05-23",101.43785,101.23927,101.61056,0.01096,0.00115,8260,0,102.02387,0
"D03","OSBS","000","025","2018-05-24",101.39208,101.19914,101.52025,0.00786,0.00095,8640,0,101.97564,0
"D03","OSBS","000","025","2018-05-25",101.24862,100.98841,101.45001,0.01902,0.00148,8640,0,101.8313,0
"D03","OSBS","000","025","2018-05-26",101.01997,100.78772,101.19914,0.01468,0.0013,8640,0,101.60315,0
"D03","OSBS","000","025","2018-05-27",100.60204,100.24586,100.868,0.03712,0.00207,8640,0,101.18446,0
"D03","OSBS","000","025","2018-05-28",100.47362,100.32614,100.62717,0.00355,0.00064,8640,0,101.05192,0
"D03","OSBS","000","025","2018-05-29",100.78483,100.5469,100.94828,0.00839,0.00099,8640,0,101.36661,0
"D03","OSBS","000","025","2018-05-30",101.05738,100.8981,101.26938,0.00784,0.00095,8640,0,101.64373,0
"D03","OSBS","000","025","2018-05-31",101.13417,100.96834,101.32959,0.00979,0.00106,8640,0,101.71736,0
"D03","OSBS","000","025","2018-06-01",101.10399,100.88807,101.23927,0.01029,0.00109,8640,0,101.6847,0
"D03","OSBS","000","025","2018-06-02",100.93935,100.67734,101.10883,0.01399,0.00127,8640,0,101.51866,0
"D03","OSBS","000","025","2018-06-03",100.87526,100.72752,100.98841,0.00365,0.00065,8640,0,101.45495,0
"D03","OSBS","000","025","2018-06-04",100.85329,100.6071,101.01852,0.01052,0.0011,8640,0,101.43011,0
"D03","OSBS","000","025","2018-06-05",100.77157,100.6071,100.9282,0.00755,0.00093,8640,0,101.34884,0
"D03","OSBS","000","025","2018-06-06",100.75994,100.61714,100.96834,0.00713,0.00091,8640,0,101.34555,0
"D03","OSBS","000","025","2018-06-07",101.03599,100.76766,101.22925,0.01753,0.00142,8640,0,101.61977,0
"D03","OSBS","000","025","2018-06-08",101.44377,101.16903,101.6206,0.01169,0.00116,8640,0,102.03051,0
"D03","OSBS","000","025","2018-06-09",101.50858,101.21921,101.64066,0.01221,0.00119,8640,0,102.09435,0
"D03","OSBS","000","025","2018-06-10",101.30486,101.02855,101.43997,0.01369,0.00126,8640,0,101.89043,0
"D03","OSBS","000","025","2018-06-11",101.15052,100.98841,101.26938,0.00432,0.00071,8640,0,101.73427,0
"D03","OSBS","000","025","2018-06-12",101.29655,101.13893,101.48011,0.00923,0.00103,8640,0,101.88241,0
"D03","OSBS","000","025","2018-06-13",101.3999,101.18911,101.59049,0.01109,0.00113,8640,0,101.98275,0
"D03","OSBS","000","025","2018-06-14",101.34047,101.10883,101.48011,0.01089,0.00112,8640,0,101.92167,0
"D03","OSBS","000","025","2018-06-15",101.24897,101.03858,101.3898,0.0084,0.00101,8280,0,101.82798,1
"D03","OSBS","000","025","2018-06-16",101.3089,101.17907,101.45001,0.00487,0.00075,8640,0,101.89136,0
"D03","OSBS","000","025","2018-06-17",101.50855,101.36973,101.69084,0.00827,0.00098,8640,0,102.09153,0
"D03","OSBS","000","025","2018-06-18",101.52267,101.28945,101.66074,0.01029,0.00109,8640,0,102.10368,0
"D03","OSBS","000","025","2018-06-19",101.24437,100.91817,101.42994,0.02078,0.00159,8205,0,101.82602,1
"D03","OSBS","000","025","2018-06-20",100.96269,100.68738,101.1289,0.00855,0.00099,8640,0,101.54207,0
"D03","OSBS","000","025","2018-06-21",100.83642,100.66731,100.91817,0.00385,0.00067,8640,0,101.41444,0
"D03","OSBS","000","025","2018-06-22",100.91157,100.75762,101.08876,0.00823,0.00098,8640,0,101.4855,0
"D03","OSBS","000","025","2018-06-23",101.05495,100.88807,101.20917,0.00747,0.00093,8640,0,101.63023,0
"D03","OSBS","000","025","2018-06-24",101.223,101.03858,101.4199,0.00971,0.00106,8640,0,101.79967,0
"D03","OSBS","000","025","2018-06-25",101.41879,101.24931,101.56039,0.00785,0.00095,8640,0,101.99866,0
"D03","OSBS","000","025","2018-06-26",101.47409,101.30952,101.63063,0.00652,0.00087,8640,0,102.05387,0
"D03","OSBS","000","025","2018-06-27",101.38347,101.11886,101.56039,0.01285,0.00122,8640,0,101.96479,0
"D03","OSBS","000","025","2018-06-28",101.23844,100.98841,101.42994,0.0121,0.00118,8640,0,101.81673,0
"D03","OSBS","000","025","2018-06-29",101.15871,100.99845,101.4199,0.00699,9e-04,8640,0,101.74068,0
"D03","OSBS","000","025","2018-06-30",101.22151,101.10883,101.34966,0.00368,0.00065,8640,0,101.80338,0
"D03","OSBS","000","025","2018-07-01",101.26355,101.11886,101.4199,0.00723,0.00094,8260,0,101.84492,0
"D03","OSBS","000","025","2018-07-02",101.27689,101.09879,101.37977,0.00549,8e-04,8640,0,101.85659,0
"D03","OSBS","000","025","2018-07-03",101.30166,101.14897,101.45001,0.00645,0.00086,8640,0,101.88232,0
"D03","OSBS","000","025","2018-07-04",101.36654,101.25935,101.53028,0.00363,0.00065,8640,0,101.9505,0
"D03","OSBS","000","025","2018-07-05",101.60744,101.49014,101.74101,0.00527,0.00078,8640,0,102.19309,0
"D03","OSBS","000","025","2018-07-06",101.60309,101.24931,101.75105,0.01538,0.00133,8640,0,102.18686,0
"D03","OSBS","000","025","2018-07-07",101.45109,101.34966,101.57042,0.00459,0.00073,8640,0,102.03653,0
"D03","OSBS","000","025","2018-07-08",101.61209,101.43997,101.79119,0.00879,0.00101,8640,0,102.19562,0
"D03","OSBS","000","025","2018-07-09",101.72977,101.50018,101.88151,0.00933,0.00104,8640,0,102.31302,0
"D03","OSBS","000","025","2018-07-10",101.43522,101.05866,101.69084,0.03231,0.00202,7901,0,102.0158,1
"D03","OSBS","000","025","2018-07-11",101.2221,101.01852,101.37977,0.00909,0.00103,8640,0,101.79971,0
"D03","OSBS","000","025","2018-07-12",101.36053,101.07872,101.56039,0.01026,0.00109,8640,0,101.93905,0
"D03","OSBS","000","025","2018-07-13",101.49871,101.28945,101.64066,0.00718,0.00091,8640,0,102.07787,0
"D03","OSBS","000","025","2018-07-14",101.42353,101.22925,101.52025,0.00489,0.00075,8640,0,102.00326,0
"D03","OSBS","000","025","2018-07-15",101.32663,101.159,101.45001,0.00597,0.00083,8640,0,101.90765,0
"D03","OSBS","000","025","2018-07-16",101.32471,101.17907,101.45001,0.00529,0.00078,8640,0,101.90351,0
"D03","OSBS","000","025","2018-07-17",101.3484,101.20917,101.47008,0.00367,0.00065,8640,0,101.93094,0
"D03","OSBS","000","025","2018-07-18",101.17616,100.9282,101.35969,0.01031,0.00109,8640,0,101.75631,0
"D03","OSBS","000","025","2018-07-19",100.99829,100.87804,101.10883,0.00416,0.00069,8640,0,101.57771,0
"D03","OSBS","000","025","2018-07-20",101.00676,100.8981,101.13893,0.00401,0.00069,8529,0,101.58647,0
"D03","OSBS","000","025","2018-07-21",100.9302,100.6071,101.1289,0.01303,0.00123,8640,0,101.50929,0
"D03","OSBS","000","025","2018-07-22",100.70831,100.39638,101.01852,0.01259,0.00121,8640,0,101.29025,0
"D03","OSBS","000","025","2018-07-23",100.48887,100.30608,100.69742,0.00842,0.00099,8640,0,101.06906,0
"D03","OSBS","000","025","2018-07-24",100.73867,100.55693,100.88807,0.00634,0.00086,8640,0,101.31982,0
"D03","OSBS","000","025","2018-07-25",100.9114,100.77769,101.03858,0.00445,0.00072,8640,0,101.48912,0
"D03","OSBS","000","025","2018-07-26",101.08012,100.90814,101.29949,0.00791,0.00096,8640,0,101.65926,0
